"H","2025/09/11"
"［データ区分］","［伝票日付］","［伝票No］","［取引状態］","［自社コード］","［自社会員名］","［自社担当者］","［取引先コード］","［取引先名］","［納品場所コード］","［納品場所名］","［納品場所 住所］","［マイカタログID］","［自社管理商品コード］","［商品名］","［規格］","［入数］","［入数単位］","［単価］","［数量］","［単位］","［金額］","［消費税］","［小計］","［課税区分］","［税区分］","［合計 商品本体］","［合計 商品消費税］","［合計 送料本体］","［合計 送料消費税］","［合計 その他］","［総合計］","［発注日］","［発送日］","［納品日］","［受領日］","［取引ID_SYSTEM］","［伝票明細ID_SYSTEM］","［発注送信日］","［発注送信時間］","［送信日］","［送信時間］"
"D","2025/08/01","479875","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","ＢＭＯ株式会社","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","200090646","","ｳﾞｧﾗﾝﾀﾝ･ｳﾞｧﾙｽ　ｼﾞｭﾈｽ･ｴﾃﾙﾈﾙ","","0.00","未指定","3168.00","3.00","本","9504","0","9504","","外税","23470","0","0","0","0","23470","","2025/08/01","2025/08/01","2025/08/01","1667505484","1","","","2025/08/02","19:48"
"D","2025/08/01","479875","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","ＢＭＯ株式会社","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","200090648","","ｳﾞｧﾗﾝﾀﾝ･ｳﾞｧﾙｽ　ﾎﾞﾝｼﾞｭｰﾙ","","0.00","本","4092.00","3.00","本","12276","0","12276","","外税","","","","","","","","2025/08/01","2025/08/01","2025/08/01","1667505484","2","","","2025/08/02","19:48"
"D","2025/08/01","479875","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","ＢＭＯ株式会社","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","55722566","","送料","","1.00","個","890.00","1.00","個","890","0","890","","外税","","","","","","","","2025/08/01","2025/08/01","2025/08/01","1667505484","3","","","2025/08/02","19:48"
"D","2025/08/01","479875","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","ＢＭＯ株式会社","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","55722637","","クール代金","","0.00","未指定","800.00","1.00","個","800","0","800","","外税","","","","","","","","2025/08/01","2025/08/01","2025/08/01","1667505484","4","","","2025/08/02","19:48"
"D","2025/08/01","481330","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","株式会社ミレジム","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","201092947","","Eau de Vie de Marc Assemblage 2009/2010/2015 Claude Dugat","700ml","0.00","本","22800.00","1.00","本","22800","0","22800","","外税","22800","2280","0","0","0","25080","","2025/07/31","2025/08/01","2025/08/01","1670649957","1","","","2025/08/02","19:48"
"D","2025/08/01","481386","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","94928124","","サッポロ  ラガー  中瓶（赤星）　500ML","500ML×20","20.00","本","288.00","6.00","本","1728","0","1728","","外税","9027","0","0","0","0","9027","2025/07/31","2025/08/01","2025/08/01","2025/08/01","1670759532","1","2025/07/31","18:33","2025/08/02","19:48"
"D","2025/08/01","481386","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","55950645","","ウィルキンソン タンサン　ペット 500ML","500ＭＬ × 1本","24.00","本","119.00","3.00","本","357","0","357","","外税","","","","","","","2025/07/31","2025/08/01","2025/08/01","2025/08/01","1670759532","2","2025/07/31","18:33","2025/08/02","19:48"
"D","2025/08/01","481386","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","170162376","","アクアパンナ瓶　750ML","７５０ML","12.00","本","370.00","9.00","本","3330","0","3330","","外税","","","","","","","2025/07/31","2025/08/01","2025/08/01","2025/08/01","1670759532","3","2025/07/31","18:33","2025/08/02","19:48"
"D","2025/08/01","481386","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","65367630","","サンヘﾟレクﾞリノ  瓶  750（新）　750ML","750ML×12","1.00","本","370.00","9.00","本","3330","0","3330","","外税","","","","","","","2025/07/31","2025/08/01","2025/08/01","2025/08/01","1670759532","4","2025/07/31","18:33","2025/08/02","19:48"
"D","2025/08/01","481386","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","前島　瑞","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","63263687","","ティーランド　アイス　ティー　ダージリン 無糖　パック 1Ｌ","1Ｌ","12.00","本","282.00","1.00","本","282","0","282","","外税","","","","","","","2025/07/31","2025/08/01","2025/08/01","2025/08/01","1670759532","5","2025/07/31","18:33","2025/08/02","19:48"
